filename,original_path,dataset,original_score,corrupted_score,corruption_type,corruption_description,penalty_applied
Knoll10_asap_wrong_notes(746)_0055.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,55.0,wrong_notes,wrong_notes(746),-25.0
Knoll10_asap_dynamic_errors(1303)_0056.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,65.0,dynamic_errors,dynamic_errors(1303),-15.0
Knoll10_asap_missing_passage_0057.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,31.1100073710463,missing_passage,missing_passage,-48.8899926289537
Knoll10_asap_missing_passage_0058.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,34.62855111225667,missing_passage,missing_passage,-45.37144888774333
Knoll10_asap_timing_errors(249)_0059.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,60.0,timing_errors,timing_errors(249),-20.0
Knoll10_asap_missing_passage_0060.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,36.14455188439047,missing_passage,missing_passage,-43.85544811560953
Knoll10_asap_missing_voice_0061.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,34.97511537120674,missing_voice,missing_voice,-45.02488462879326
Knoll10_asap_missing_passage_0062.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,57.566127378076544,missing_passage,missing_passage,-22.43387262192346
Knoll10_asap_original_0063.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,80.0,clean,original,0.0
Knoll10_asap_wrong_notes(3220)_timing_errors(4160)_dynamic_erro_0064.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,20.0,mixed,"wrong_notes(3220),timing_errors(4160),dynamic_errors(2909)",-60.0
Knoll10_asap_timing_errors(2691)_0065.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,60.0,timing_errors,timing_errors(2691),-20.0
Knoll10_asap_wrong_notes(3055)_0066.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,55.0,wrong_notes,wrong_notes(3055),-25.0
Knoll10_asap_wrong_notes(3252)_0067.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,55.0,wrong_notes,wrong_notes(3252),-25.0
Knoll10_asap_missing_voice_0068.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,37.36927860339351,missing_voice,missing_voice,-42.63072139660649
Knoll10_asap_missing_voice_0069.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,42.33946438433993,missing_voice,missing_voice,-37.66053561566007
Knoll10_asap_missing_voice_0070.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,33.993717900594845,missing_voice,missing_voice,-46.006282099405155
Knoll10_asap_wrong_notes(2557)_0071.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Knoll10.mid,asap,80,55.0,wrong_notes,wrong_notes(2557),-25.0
Giltburg02_asap_original_0072.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,80.0,clean,original,0.0
Giltburg02_asap_missing_voice_0073.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,36.826929120238646,missing_voice,missing_voice,-43.173070879761354
Giltburg02_asap_missing_voice_0074.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,32.896066471466824,missing_voice,missing_voice,-47.103933528533176
Giltburg02_asap_wrong_notes(1540)_timing_errors(1906)_dynamic_erro_0075.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,20.0,mixed,"wrong_notes(1540),timing_errors(1906),dynamic_errors(1122)",-60.0
Giltburg02_asap_missing_passage_0076.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,40.51726264062992,missing_passage,missing_passage,-39.48273735937008
Giltburg02_asap_missing_voice_0077.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,41.386354598289905,missing_voice,missing_voice,-38.613645401710095
Giltburg02_asap_missing_passage_0078.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,36.16776738221504,missing_passage,missing_passage,-43.83223261778496
Giltburg02_asap_timing_errors(3348)_0079.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,60.0,timing_errors,timing_errors(3348),-20.0
Giltburg02_asap_timing_errors(3157)_0080.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Giltburg02.mid,asap,80,60.0,timing_errors,timing_errors(3157),-20.0
Jia03_asap_original_0081.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,80.0,clean,original,0.0
Jia03_asap_wrong_notes(2667)_0082.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,55.0,wrong_notes,wrong_notes(2667),-25.0
Jia03_asap_timing_errors(3058)_0083.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,60.0,timing_errors,timing_errors(3058),-20.0
Jia03_asap_missing_voice_0084.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,33.44355149482314,missing_voice,missing_voice,-46.55644850517686
Jia03_asap_missing_passage_0085.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,48.9370573310936,missing_passage,missing_passage,-31.0629426689064
Jia03_asap_dynamic_errors(3315)_0086.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,65.0,dynamic_errors,dynamic_errors(3315),-15.0
Jia03_asap_dynamic_errors(2498)_0087.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,65.0,dynamic_errors,dynamic_errors(2498),-15.0
Jia03_asap_timing_errors(3497)_0088.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,60.0,timing_errors,timing_errors(3497),-20.0
Jia03_asap_wrong_notes(1883)_0089.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/Jia03.mid,asap,80,55.0,wrong_notes,wrong_notes(1883),-25.0
MATSUM03_asap_original_0090.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,80.0,clean,original,0.0
MATSUM03_asap_missing_voice_0091.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,25.58929923055377,missing_voice,missing_voice,-54.41070076944623
MATSUM03_asap_missing_voice_0092.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,32.00832876214353,missing_voice,missing_voice,-47.99167123785647
MATSUM03_asap_wrong_notes(468)_0093.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,55.0,wrong_notes,wrong_notes(468),-25.0
MATSUM03_asap_missing_voice_0094.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,29.94122712760135,missing_voice,missing_voice,-50.05877287239865
MATSUM03_asap_dynamic_errors(3431)_0095.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,65.0,dynamic_errors,dynamic_errors(3431),-15.0
MATSUM03_asap_timing_errors(993)_0096.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,60.0,timing_errors,timing_errors(993),-20.0
MATSUM03_asap_missing_passage_0097.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,56.3322403302535,missing_passage,missing_passage,-23.667759669746502
MATSUM03_asap_dynamic_errors(774)_0098.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/1st_no_repeat/MATSUM03.mid,asap,80,65.0,dynamic_errors,dynamic_errors(774),-15.0
Knoll10_asap_original_0099.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,80.0,clean,original,0.0
Knoll10_asap_timing_errors(190)_0100.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,60.0,timing_errors,timing_errors(190),-20.0
Knoll10_asap_wrong_notes(386)_timing_errors(777)_dynamic_errors_0101.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,20.0,mixed,"wrong_notes(386),timing_errors(777),dynamic_errors(1176)",-60.0
Knoll10_asap_wrong_notes(211)_0102.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,55.0,wrong_notes,wrong_notes(211),-25.0
Knoll10_asap_missing_voice_0103.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,26.301313026461145,missing_voice,missing_voice,-53.698686973538855
Knoll10_asap_timing_errors(651)_0104.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,60.0,timing_errors,timing_errors(651),-20.0
Knoll10_asap_missing_voice_0105.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,43.578777492375806,missing_voice,missing_voice,-36.421222507624194
Knoll10_asap_wrong_notes(1503)_0106.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,55.0,wrong_notes,wrong_notes(1503),-25.0
Knoll10_asap_timing_errors(1104)_0107.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Knoll10.mid,asap,80,60.0,timing_errors,timing_errors(1104),-20.0
Giltburg02_asap_original_0108.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,80.0,clean,original,0.0
Giltburg02_asap_missing_passage_0109.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,37.838898590223295,missing_passage,missing_passage,-42.161101409776705
Giltburg02_asap_wrong_notes(1568)_timing_errors(840)_dynamic_error_0110.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,20.0,mixed,"wrong_notes(1568),timing_errors(840),dynamic_errors(684)",-60.0
Giltburg02_asap_dynamic_errors(887)_0111.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,65.0,dynamic_errors,dynamic_errors(887),-15.0
Giltburg02_asap_wrong_notes(1535)_timing_errors(616)_dynamic_error_0112.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,20.0,mixed,"wrong_notes(1535),timing_errors(616),dynamic_errors(1032)",-60.0
Giltburg02_asap_dynamic_errors(253)_0113.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,65.0,dynamic_errors,dynamic_errors(253),-15.0
Giltburg02_asap_wrong_notes(859)_timing_errors(1720)_dynamic_error_0114.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,20.0,mixed,"wrong_notes(859),timing_errors(1720),dynamic_errors(749)",-60.0
Giltburg02_asap_missing_voice_0115.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,36.74676868808915,missing_voice,missing_voice,-43.25323131191085
Giltburg02_asap_wrong_notes(1168)_timing_errors(720)_dynamic_error_0116.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/Giltburg02.mid,asap,80,20.0,mixed,"wrong_notes(1168),timing_errors(720),dynamic_errors(1647)",-60.0
KaszoS16M_asap_original_0117.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,80.0,clean,original,0.0
KaszoS16M_asap_dynamic_errors(1130)_0118.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,65.0,dynamic_errors,dynamic_errors(1130),-15.0
KaszoS16M_asap_missing_passage_0119.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,51.50551648739798,missing_passage,missing_passage,-28.494483512602013
KaszoS16M_asap_missing_passage_0120.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,37.58005467135269,missing_passage,missing_passage,-42.41994532864731
KaszoS16M_asap_wrong_notes(273)_timing_errors(1362)_dynamic_error_0121.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,20.0,mixed,"wrong_notes(273),timing_errors(1362),dynamic_errors(1325)",-60.0
KaszoS16M_asap_missing_voice_0122.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,46.53880576400463,missing_voice,missing_voice,-33.46119423599537
KaszoS16M_asap_timing_errors(1204)_0123.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,60.0,timing_errors,timing_errors(1204),-20.0
KaszoS16M_asap_missing_voice_0124.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,48.31772450485869,missing_voice,missing_voice,-31.682275495141308
KaszoS16M_asap_dynamic_errors(1259)_0125.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/4th/KaszoS16M.mid,asap,80,65.0,dynamic_errors,dynamic_errors(1259),-15.0
Kociuban02_asap_original_0126.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Etudes_op_25/11/Kociuban02.mid,asap,80,80.0,clean,original,0.0
Kociuban02_asap_missing_voice_0127.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Etudes_op_25/11/Kociuban02.mid,asap,80,47.58429307785118,missing_voice,missing_voice,-32.41570692214882
